geohash_id	consumption_level	activity_level	date_id
b72036c45	69.03918	63.669807	20230407
a0f907866	67.55238	62.534332	20230404
a0f907866	69.71735	64.75399	20230405
a0f907866	69.0072	65.7851	20230406
a0f907866	68.446266	67.08086	20230407
76ce9d5f7	64.44078	58.528805	20230404
76ce9d5f7	66.6667	60.920128	20230405
76ce9d5f7	67.81085	61.27251	20230406
76ce9d5f7	66.981636	61.421894	20230407
460061ab8	64.05196	57.504864	20230404
460061ab8	64.93231	61.271618	20230405
460061ab8	64.44793	60.42363	20230406
460061ab8	65.748764	62.28012	20230407
9c0c965c9	63.729183	53.572525	20230404
9c0c965c9	65.76497	57.532795	20230405
9c0c965c9	67.3712	59.426994	20230406
9c0c965c9	70.857544	60.475292	20230407
532cc1c3b	65.038086	64.09105	20230404
532cc1c3b	66.84237	66.80034	20230405
532cc1c3b	67.04844	66.69329	20230406
532cc1c3b	68.34858	67.86899	20230407
fb1d6b50c	66.30897	59.655174	20230404
fb1d6b50c	67.99738	61.45705	20230405
fb1d6b50c	67.4921	62.280907	20230406
fb1d6b50c	68.09838	63.58118	20230407
0a2120d0e	65.284706	56.690884	20230404
0a2120d0e	65.56462	58.265114	20230405
0a2120d0e	66.286835	59.532963	20230406
0a2120d0e	65.189095	59.422474	20230407
06bfd741f	68.01339	65.64438	20230404
06bfd741f	75.89595	69.64648	20230405
06bfd741f	70.58571	70.32492	20230406
06bfd741f	71.39963	72.48217	20230407
0551d992g	70.99967	71.86617	20230404
0551d992g	72.88099	75.81513	20230405
0551d992g	73.34757	76.19405	20230406
0551d992g	73.02447	77.53093	20230407
740fc409h	66.479904	57.076332	20230404
740fc409h	67.57125	60.72316	20230405
740fc409h	66.95218	60.76384	20230406
740fc409h	67.64269	60.577454	20230407
dc56e7c0j	65.417984	61.189697	20230404
dc56e7c0j	68.67299	64.998055	20230405
dc56e7c0j	68.06788	64.70942	20230406
dc56e7c0j	68.2369	65.05837	20230407
02a9ee71k	71.58738	65.00308	20230404
02a9ee71k	71.688576	67.70837	20230405
02a9ee71k	71.25348	67.70121	20230406
02a9ee71k	70.81919	68.61604	20230407
ade14f48m	69.78542	62.863205	20230404
ade14f48m	68.80144	65.49448	20230405
ade14f48m	69.3238	65.75821	20230406
ade14f48m	67.37872	64.810425	20230407
68abda28n	68.80815	63.677982	20230404
68abda28n	71.03761	66.85076	20230405
68abda28n	71.592995	66.95646	20230406
68abda28n	70.45788	68.76395	20230407
d83a679ep	69.0494	67.268234	20230404
d83a679ep	72.673904	69.852264	20230405
d83a679ep	70.77406	69.79863	20230406
d83a679ep	71.07215	70.61524	20230407
df3d371fq	66.51178	59.551945	20230404
df3d371fq	68.55082	62.408913	20230405
df3d371fq	67.67704	60.831272	20230406
df3d371fq	66.904854	61.512222	20230407
3973ea35r	69.99117	69.06125	20230404
3973ea35r	70.6475	71.98732	20230405
3973ea35r	70.491295	71.16619	20230406
3973ea35r	70.63936	72.97965	20230407
8a966469s	69.30469	60.857178	20230404
8a966469s	68.81078	62.918415	20230405
8a966469s	69.334526	63.00606	20230406
8a966469s	69.54031	63.798542	20230407
8d978969t	69.224625	54.76071	20230404
8d978969t	67.98133	57.005077	20230405
8d978969t	69.90502	57.2875	20230406
8d978969t	67.61294	58.159386	20230407
6e03f027u	68.89635	61.78258	20230404
6e03f027u	68.74585	64.79608	20230405
6e03f027u	69.58647	64.96683	20230406
6e03f027u	69.947334	66.22701	20230407
fdcd79d7v	66.25375	42.76054	20230404
fdcd79d7v	59.40773	42.6859	20230405
fdcd79d7v	58.188503	42.145374	20230406
fdcd79d7v	68.23856	49.115456	20230407
aa8ebe0aw	69.31298	58.962646	20230404
aa8ebe0aw	69.09995	60.667667	20230405
aa8ebe0aw	70.66443	61.22962	20230406
aa8ebe0aw	69.941536	61.7071	20230407
ac59bae0x	67.1894	62.68125	20230404
ac59bae0x	68.99226	64.95625	20230405
ac59bae0x	70.33047	65.17508	20230406
ac59bae0x	69.077126	65.442	20230407
1c1f3efay	66.445816	53.351776	20230404
1c1f3efay	65.829	52.86141	20230405
1c1f3efay	64.45087	54.208057	20230406
1c1f3efay	68.4763	55.083126	20230407
426f2c6fz	65.67848	59.17099	20230404
426f2c6fz	68.57112	60.769897	20230405
426f2c6fz	66.2363	60.34686	20230406
426f2c6fz	67.774536	60.145164	20230407
885a4d780	68.31997	68.593414	20230404
885a4d780	69.96268	71.13835	20230405
885a4d780	70.058525	71.01708	20230406
885a4d780	70.37223	71.901	20230407
7e69e0cc1	70.53352	73.45782	20230404
7e69e0cc1	74.79527	77.37591	20230405
7e69e0cc1	72.130714	76.73588	20230406
7e69e0cc1	72.989365	78.939865	20230407
9e81cf4a2	67.17996	61.09931	20230404
9e81cf4a2	68.65456	62.661957	20230405
9e81cf4a2	68.08874	62.565434	20230406
9e81cf4a2	68.97839	63.856243	20230407
729da7213	66.94047	63.510162	20230404
729da7213	69.840675	66.91305	20230405
729da7213	67.21567	65.81666	20230406
729da7213	67.696655	67.21906	20230407
9effddf54	69.76603	71.24555	20230404
9effddf54	75.17375	74.849365	20230405
9effddf54	72.4697	75.728676	20230406
9effddf54	71.46937	76.25653	20230407
565891c35	70.93473	71.81507	20230404
565891c35	75.57807	74.76718	20230405
565891c35	71.80573	74.82988	20230406
565891c35	71.4833	74.6402	20230407
c84af1c86	69.93135	67.15227	20230404
c84af1c86	71.76326	70.21576	20230405
c84af1c86	70.955666	70.27891	20230406
c84af1c86	71.4364	71.65091	20230407
5b03325d7	69.027954	67.14662	20230404
5b03325d7	72.55397	70.6105	20230405
5b03325d7	71.556404	70.68723	20230406
5b03325d7	71.62839	71.580444	20230407
5adeebdb8	67.937584	62.53323	20230404
5adeebdb8	69.374435	64.617035	20230405
5adeebdb8	69.95706	64.27068	20230406
5adeebdb8	71.07529	65.93828	20230407
4dfdab2f9	66.81547	55.468178	20230404
4dfdab2f9	67.04884	57.287563	20230405
4dfdab2f9	67.65892	56.39354	20230406
4dfdab2f9	68.45472	60.320515	20230407
aedc0c70b	68.90097	61.054	20230404
aedc0c70b	69.82254	63.376217	20230405
aedc0c70b	69.596634	61.932014	20230406
aedc0c70b	70.20324	64.38413	20230407
431989eec	65.48727	58.19134	20230404
431989eec	70.846756	60.412678	20230405
431989eec	68.01541	58.04257	20230406
431989eec	67.67905	61.120304	20230407
5a415ff7d	64.6966	55.326332	20230404
5a415ff7d	66.30388	57.11607	20230405
5a415ff7d	69.004524	58.766262	20230406
5a415ff7d	66.68604	56.911327	20230407
d1897990e	68.68647	63.714146	20230404
d1897990e	70.9787	66.206215	20230405
d1897990e	71.29989	66.013214	20230406
d1897990e	69.20712	66.342545	20230407
d11df673f	66.84649	60.836617	20230404
d11df673f	68.61618	62.523605	20230405
d11df673f	68.668	62.0292	20230406
d11df673f	67.17232	63.002735	20230407
894ef80ag	68.94482	62.74905	20230404
894ef80ag	69.938194	65.90399	20230405
894ef80ag	71.902306	65.34905	20230406
894ef80ag	69.549194	66.35983	20230407
d7b3691dh	67.53794	61.95228	20230404
d7b3691dh	70.52146	65.221756	20230405
d7b3691dh	70.23878	65.51476	20230406
d7b3691dh	71.19136	66.33035	20230407
0abe77d1j	68.78679	62.183628	20230404
0abe77d1j	69.946075	64.02165	20230405
0abe77d1j	68.98051	64.06469	20230406
0abe77d1j	71.490616	65.318985	20230407
cb68a5eak	71.77381	72.35377	20230404
cb68a5eak	73.62006	72.01964	20230405
cb68a5eak	73.411804	72.53138	20230406
cb68a5eak	72.94492	73.096756	20230407
f7bbb6a5m	68.92638	66.777405	20230404
f7bbb6a5m	70.84838	68.76866	20230405
f7bbb6a5m	69.675804	68.11458	20230406
f7bbb6a5m	71.698425	69.3946	20230407
2569cdd4n	68.32101	62.854355	20230404
2569cdd4n	70.31174	64.8352	20230405
2569cdd4n	69.50081	64.38681	20230406
2569cdd4n	69.81802	65.07325	20230407
dc285daap	71.03925	69.4674	20230404
dc285daap	73.09897	70.92677	20230405
dc285daap	72.73656	70.86871	20230406
dc285daap	72.27767	71.36644	20230407
629813caq	70.819115	69.09446	20230404
629813caq	72.61047	71.18358	20230405
629813caq	72.749985	71.044754	20230406
629813caq	72.79468	71.51353	20230407
870abce9r	72.24841	68.81716	20230404
870abce9r	73.59545	71.14131	20230405
870abce9r	73.34773	70.7485	20230406
870abce9r	73.54213	71.647125	20230407
4875deads	66.33367	58.24018	20230404
4875deads	67.491	60.54079	20230405
4875deads	68.531586	60.64202	20230406
4875deads	69.12339	63.01312	20230407
b253b183t	61.626003	46.871273	20230404
b253b183t	62.3633	47.02364	20230405
b253b183t	61.018703	48.598866	20230406
b253b183t	67.21488	47.232624	20230407
7651282au	70.96268	64.054306	20230404
7651282au	71.76988	66.65476	20230405
7651282au	71.96373	66.527405	20230406
7651282au	71.78601	67.01961	20230407
5a343b30v	68.542885	64.79496	20230404
5a343b30v	70.02907	66.96924	20230405
5a343b30v	70.82567	67.036644	20230406
5a343b30v	70.949936	67.67118	20230407
6aabe3b1w	67.16333	60.91262	20230404
6aabe3b1w	68.366714	62.990406	20230405
6aabe3b1w	68.30612	63.470146	20230406
6aabe3b1w	69.55111	64.5117	20230407
245ebf68x	70.01163	62.09603	20230404
245ebf68x	71.91706	63.29432	20230405
245ebf68x	70.38526	63.624447	20230406
245ebf68x	70.04191	65.63645	20230407
39138745y	72.35498	71.0065	20230404
39138745y	72.917854	73.59758	20230405
39138745y	73.08939	73.70134	20230406
39138745y	73.492035	74.36515	20230407
851e023fz	72.61846	77.46185	20230404
851e023fz	74.73837	80.817505	20230405
851e023fz	74.19873	80.25546	20230406
851e023fz	73.85763	81.43195	20230407
9f67e8d8g	66.09995	62.68884	20230404
9f67e8d8g	67.489624	64.47947	20230405
9f67e8d8g	66.75814	64.29927	20230406
9f67e8d8g	67.94466	64.77697	20230407
cd506439t	69.393456	69.97717	20230404
cd506439t	70.27695	70.98114	20230405
cd506439t	70.760506	70.99771	20230406
cd506439t	71.275276	71.61672	20230407
822b4709u	66.68408	63.294064	20230404
822b4709u	67.28563	64.521225	20230405
822b4709u	67.09257	65.20013	20230406
822b4709u	67.897415	66.335434	20230407
74fc6333v	67.12	66.42017	20230404
74fc6333v	68.998375	68.51624	20230405
74fc6333v	68.253265	68.12493	20230406
74fc6333v	69.02954	68.77367	20230407
2e7f2fb4w	66.4621	59.08332	20230404
2e7f2fb4w	65.55486	60.40496	20230405
2e7f2fb4w	63.87874	58.16686	20230406
2e7f2fb4w	65.92557	61.453796	20230407
00aaa190x	67.832016	57.23093	20230404
00aaa190x	68.601776	56.71533	20230405
00aaa190x	67.433304	56.52209	20230406
00aaa190x	68.423805	58.324776	20230407
80948d47y	67.84666	67.080765	20230404
80948d47y	70.03137	68.796425	20230405
80948d47y	68.94912	68.41377	20230406
80948d47y	69.442245	69.60974	20230407
b0ef6f02z	65.71716	58.75314	20230404
b0ef6f02z	67.61559	62.254528	20230405
b0ef6f02z	67.36303	61.549515	20230406
b0ef6f02z	70.45937	63.383495	20230407
adf01e411	66.04556	44.364326	20230404
adf01e411	65.5697	46.944405	20230405
adf01e411	65.35437	48.80301	20230406
adf01e411	64.00753	47.661686	20230407
7f6157af2	70.28972	51.147373	20230404
7f6157af2	74.26525	55.813442	20230405
7f6157af2	66.27788	53.544632	20230406
7f6157af2	67.31306	55.141216	20230407
0aef925a3	73.48046	54.525497	20230404
0aef925a3	67.34594	54.12636	20230405
0aef925a3	66.40131	51.68011	20230406
0aef925a3	69.39811	55.39797	20230407
f76b94ba4	68.39065	58.41498	20230404
f76b94ba4	67.222305	58.323795	20230405
f76b94ba4	68.5304	60.279053	20230406
f76b94ba4	68.815125	60.32123	20230407
50c859b85	67.77963	65.6242	20230404
50c859b85	71.961235	66.94387	20230405
50c859b85	68.783714	67.11345	20230406
50c859b85	68.84667	67.38468	20230407
e48194ef6	66.40954	51.075375	20230404
e48194ef6	63.56618	51.142975	20230405
e48194ef6	69.08444	52.86949	20230406
e48194ef6	66.19638	53.85953	20230407
a36192097	64.96233	55.234108	20230404
a36192097	72.62249	57.553635	20230405
a36192097	67.36706	59.007935	20230406
a36192097	67.11191	57.97253	20230407
f1bda6d98	70.20257	53.94923	20230404
f1bda6d98	73.866196	54.69837	20230405
f1bda6d98	66.538345	54.24222	20230406
f1bda6d98	68.01353	56.87146	20230407
48dcd73a9	70.30006	55.52951	20230404
48dcd73a9	72.54032	58.151646	20230405
48dcd73a9	68.814316	58.0887	20230406
48dcd73a9	67.975464	60.538944	20230407
85d47567b	67.321434	64.876976	20230404
85d47567b	79.375786	65.739075	20230405
85d47567b	68.90428	65.46231	20230406
85d47567b	68.80618	66.61724	20230407
14f26e1fc	71.602745	66.758125	20230404
14f26e1fc	78.753654	67.75766	20230405
14f26e1fc	70.369194	67.70864	20230406
14f26e1fc	71.06006	69.457634	20230407
25ce4b97d	52.47777	37.264156	20230404
25ce4b97d	55.24409	41.91197	20230405
25ce4b97d	60.357452	44.184143	20230406
25ce4b97d	62.985992	45.953896	20230407
b1f4fc7ae	66.52564	55.132057	20230404
b1f4fc7ae	67.21828	55.211403	20230405
b1f4fc7ae	68.50666	56.370018	20230406
b1f4fc7ae	67.10117	56.69481	20230407
2751b6bdf	69.73363	65.1602	20230404
2751b6bdf	68.82798	66.51987	20230405
2751b6bdf	68.44714	66.048805	20230406
2751b6bdf	69.04281	67.67462	20230407
ea1239afg	68.13186	63.975174	20230404
ea1239afg	68.27108	66.996414	20230405
ea1239afg	68.55408	66.6138	20230406
ea1239afg	67.94979	67.16754	20230407
a8d0ea52h	68.91188	63.34899	20230404
a8d0ea52h	71.49082	65.75775	20230405
a8d0ea52h	70.080284	65.87416	20230406
a8d0ea52h	69.86955	66.33765	20230407
1e93dd11j	64.932686	56.988785	20230404
1e93dd11j	67.11559	59.856663	20230405
1e93dd11j	66.9491	57.63699	20230406
1e93dd11j	68.376526	60.291832	20230407
0f8605fak	66.71799	52.87027	20230404
0f8605fak	66.341415	55.475586	20230405
0f8605fak	65.2954	56.576332	20230406
0f8605fak	68.40555	57.95913	20230407
7b4d029bm	68.666306	55.744656	20230404
7b4d029bm	67.63907	56.048786	20230405
7b4d029bm	65.73512	56.52154	20230406
7b4d029bm	66.257515	55.889286	20230407
db9043dcn	66.16013	58.313763	20230404
db9043dcn	67.52873	60.021282	20230405
db9043dcn	67.99974	59.47714	20230406
db9043dcn	67.34288	61.092064	20230407
228687d7p	70.45071	61.092102	20230404
228687d7p	69.66967	64.67393	20230405
228687d7p	70.31815	63.400986	20230406
228687d7p	69.93756	63.65421	20230407
e5dbc241q	68.99555	61.756554	20230404
e5dbc241q	69.22747	62.921364	20230405
e5dbc241q	67.97901	63.383705	20230406
e5dbc241q	67.53479	63.76268	20230407
a3a360bfr	68.26873	62.774445	20230404
a3a360bfr	69.65924	64.13819	20230405
a3a360bfr	69.22552	64.7488	20230406
a3a360bfr	68.73909	64.74253	20230407
8cdb8d48s	54.393726	38.06361	20230404
8cdb8d48s	53.336624	37.430122	20230405
8cdb8d48s	56.97117	40.400566	20230406
8cdb8d48s	55.35202	39.1186	20230407
552eaa26t	67.31782	57.792637	20230404
552eaa26t	67.92616	59.48647	20230405
552eaa26t	67.641846	58.869396	20230406
552eaa26t	66.49048	60.08179	20230407
6ab75c87u	68.24171	64.22143	20230404
6ab75c87u	69.2906	65.75623	20230405
6ab75c87u	68.983505	65.046974	20230406
6ab75c87u	70.265335	67.233246	20230407
fcf331f7v	68.8918	64.25323	20230404
fcf331f7v	70.09376	66.80978	20230405
fcf331f7v	69.42877	66.78429	20230406
fcf331f7v	71.17801	67.94193	20230407
0a624458w	68.81311	62.648067	20230404
0a624458w	68.17151	63.011944	20230405
0a624458w	68.795746	63.67205	20230406
0a624458w	68.70873	64.50058	20230407
371f3cbex	70.54816	62.83131	20230404
371f3cbex	71.62894	64.74293	20230405
371f3cbex	72.0399	65.378456	20230406
371f3cbex	70.97506	65.19935	20230407
498842e9y	69.80988	68.49584	20230404
498842e9y	71.09623	69.97794	20230405
498842e9y	71.58701	69.93507	20230406
498842e9y	69.76239	70.408745	20230407
74586641z	71.34109	62.374207	20230404
74586641z	69.7491	63.714962	20230405
74586641z	70.516594	64.1948	20230406
74586641z	67.61298	63.859768	20230407
1097270a8	64.538155	47.19176	20230404
1097270a8	67.67258	49.983597	20230405
1097270a8	67.445206	48.701836	20230406
1097270a8	74.01278	49.42014	20230407
00b24a1c9	65.456985	56.41346	20230404
00b24a1c9	67.59044	57.454197	20230405
00b24a1c9	69.14902	58.213516	20230406
00b24a1c9	68.96524	58.18231	20230407
2587b8e4b	68.10053	63.055637	20230404
2587b8e4b	69.41534	66.51546	20230405
2587b8e4b	69.18083	66.02365	20230406
2587b8e4b	69.789	67.487335	20230407
adac730dc	64.40775	56.01018	20230404
adac730dc	64.58024	58.817757	20230405
adac730dc	64.93923	57.50838	20230406
adac730dc	64.04273	58.959694	20230407
5628f18ed	68.720894	62.547295	20230404
5628f18ed	69.34875	63.062214	20230405
5628f18ed	67.45373	62.312756	20230406
5628f18ed	69.506386	63.04365	20230407
9746911ae	70.426	65.394714	20230404
9746911ae	71.16266	65.93065	20230405
9746911ae	69.68447	66.028694	20230406
9746911ae	71.13725	66.9106	20230407
56b423a9f	69.01145	60.99934	20230404
56b423a9f	67.98697	63.543076	20230405
56b423a9f	69.2126	63.366	20230406
56b423a9f	69.13288	63.957634	20230407
c97af2fbg	70.36832	63.78037	20230404
c97af2fbg	70.53018	65.88022	20230405
c97af2fbg	69.731865	65.80817	20230406
c97af2fbg	70.53595	67.24439	20230407
40079f83s	69.04138	60.767403	20230404
40079f83s	69.95159	62.74719	20230405
40079f83s	68.32928	62.752098	20230406
40079f83s	69.67725	62.55917	20230407
bb7019f2t	67.80687	63.996307	20230404
bb7019f2t	69.95767	66.071884	20230405
bb7019f2t	71.35004	66.24191	20230406
bb7019f2t	69.30305	67.55273	20230407
6cb00e16u	68.064095	59.098297	20230404
6cb00e16u	68.476875	61.02738	20230405
6cb00e16u	67.48012	59.57497	20230406
6cb00e16u	67.895096	60.838856	20230407
bcf6d65bv	71.7317	67.59925	20230404
bcf6d65bv	72.428024	70.40441	20230405
bcf6d65bv	72.42482	69.56552	20230406
bcf6d65bv	72.40651	70.19533	20230407
b67bec07w	69.467186	69.39769	20230404
b67bec07w	71.91136	72.00695	20230405
b67bec07w	71.36998	72.00233	20230406
b67bec07w	72.25118	73.4422	20230407
56fd518bx	71.29209	72.469154	20230404
56fd518bx	71.79523	74.77724	20230405
56fd518bx	72.95972	74.691734	20230406
56fd518bx	72.13039	75.7535	20230407
c807c08ay	68.1653	66.02397	20230404
c807c08ay	70.95873	69.11559	20230405
c807c08ay	69.78362	68.87683	20230406
c807c08ay	70.736404	70.12623	20230407
ef108768z	68.55	70.19313	20230404
ef108768z	71.01387	73.265625	20230405
ef108768z	71.02287	72.81311	20230406
ef108768z	70.82183	73.69506	20230407
cb2339e00	69.602356	62.61578	20230404
cb2339e00	69.13177	66.317505	20230405
cb2339e00	68.6029	64.95586	20230406
cb2339e00	69.50081	66.78167	20230407
07ebf0b41	67.6907	63.747555	20230404
07ebf0b41	67.34238	66.358536	20230405
07ebf0b41	67.63453	65.64594	20230406
07ebf0b41	67.354614	66.14137	20230407
b71f8cca2	69.29391	65.97081	20230404
b71f8cca2	70.648346	67.86269	20230405
b71f8cca2	70.56008	67.987404	20230406
b71f8cca2	71.71961	67.87724	20230407
b86e5ca23	65.80157	58.042774	20230404
b86e5ca23	65.87817	60.18835	20230405
b86e5ca23	66.62645	60.891476	20230406
b86e5ca23	66.8159	61.15602	20230407
71997d0f4	67.79827	64.89813	20230404
71997d0f4	69.35504	66.93668	20230405
71997d0f4	68.92415	66.168434	20230406
71997d0f4	71.212204	67.1216	20230407
a6d7914b5	69.66426	65.22071	20230404
a6d7914b5	71.08056	67.77184	20230405
a6d7914b5	69.98726	67.57574	20230406
a6d7914b5	72.154495	68.06318	20230407
bc6ab9e66	68.960594	62.065834	20230404
bc6ab9e66	69.131516	65.31145	20230405
bc6ab9e66	68.40067	65.229416	20230406
bc6ab9e66	67.78119	65.53962	20230407
445e41f97	66.80252	63.89157	20230404
445e41f97	69.88877	65.764084	20230405
445e41f97	68.68793	65.2819	20230406
445e41f97	68.19311	65.642456	20230407
f6e5c0db8	68.2127	62.0692	20230404
f6e5c0db8	69.74892	64.93841	20230405
f6e5c0db8	69.644485	64.431046	20230406
f6e5c0db8	70.19253	65.79593	20230407
06d30e8c9	72.50965	69.49059	20230404
06d30e8c9	71.74762	72.18653	20230405
06d30e8c9	71.69754	71.79882	20230406
06d30e8c9	72.525055	74.290054	20230407
cdf9c7e9b	70.1847	62.721394	20230404
cdf9c7e9b	69.18449	63.829197	20230405
cdf9c7e9b	68.99836	63.312737	20230406
cdf9c7e9b	69.973755	64.67477	20230407
8b6dc8dac	72.69526	71.79727	20230404
8b6dc8dac	72.48765	74.35252	20230405
8b6dc8dac	73.446655	74.47576	20230406
8b6dc8dac	73.485	76.28819	20230407
4b54690ed	71.23321	61.92155	20230404
4b54690ed	69.51695	64.60786	20230405
4b54690ed	68.96643	64.42794	20230406
4b54690ed	69.794556	65.92165	20230407
183eb10de	71.34652	70.74259	20230404
183eb10de	73.15699	72.95341	20230405
183eb10de	72.96325	73.70568	20230406
183eb10de	73.82872	75.04721	20230407
0a58bd65f	71.82789	69.87971	20230404
0a58bd65f	72.63013	72.382195	20230405
0a58bd65f	71.81682	72.54609	20230406
0a58bd65f	72.45163	72.87438	20230407
e91ca653g	70.82809	71.21232	20230404
e91ca653g	75.29365	73.31126	20230405
e91ca653g	71.56719	73.28066	20230406
e91ca653g	71.951096	73.52572	20230407
27873dabh	66.50462	59.16943	20230404
27873dabh	69.86387	62.532806	20230405
27873dabh	70.740814	63.37567	20230406
27873dabh	69.20411	62.869427	20230407
26efc9d3j	68.69337	68.319214	20230404
26efc9d3j	70.84479	71.19307	20230405
26efc9d3j	70.930084	70.24956	20230406
26efc9d3j	69.75216	70.80967	20230407
5d26936ck	66.140274	64.601	20230404
5d26936ck	69.05905	67.481445	20230405
5d26936ck	69.68019	67.87846	20230406
5d26936ck	69.73189	67.51142	20230407
2f46336fm	68.47358	70.58338	20230404
2f46336fm	70.5828	72.37436	20230405
2f46336fm	71.81636	72.28043	20230406
2f46336fm	70.83343	72.90998	20230407
0f56f5b5n	66.17232	67.16548	20230404
0f56f5b5n	69.712654	70.879875	20230405
0f56f5b5n	69.4188	69.85644	20230406
0f56f5b5n	70.36422	71.46979	20230407
ecaa8dcap	68.90284	69.24091	20230404
ecaa8dcap	69.577675	71.88262	20230405
ecaa8dcap	70.54933	71.89245	20230406
ecaa8dcap	70.72111	72.75523	20230407
b3e95f78q	70.04605	71.353584	20230404
b3e95f78q	72.00889	74.7246	20230405
b3e95f78q	73.04368	74.25094	20230406
b3e95f78q	72.814896	75.4639	20230407
61b8872dr	69.24646	67.91346	20230404
61b8872dr	70.2801	70.14908	20230405
61b8872dr	70.52574	70.53608	20230406
61b8872dr	70.28999	70.85125	20230407
2267d91fs	70.28505	66.93354	20230404
2267d91fs	71.49207	69.67667	20230405
2267d91fs	69.93696	70.036285	20230406
2267d91fs	70.81474	69.71465	20230407
d67f2882t	70.348335	68.045105	20230404
d67f2882t	70.22521	70.10796	20230405
d67f2882t	69.47012	70.197655	20230406
d67f2882t	70.06061	70.6254	20230407
a1a717b2u	70.70931	71.72427	20230404
a1a717b2u	75.91465	73.42303	20230405
a1a717b2u	71.57629	73.44291	20230406
a1a717b2u	72.272156	73.979095	20230407
a98ade0cv	69.88893	68.38798	20230404
a98ade0cv	73.101494	69.78378	20230405
a98ade0cv	70.65584	70.88721	20230406
a98ade0cv	73.320755	71.50037	20230407
56a08694w	69.536	70.52442	20230404
56a08694w	71.767845	73.562645	20230405
56a08694w	71.161316	73.166084	20230406
56a08694w	71.62947	74.02087	20230407
7fca9fa1x	70.25779	67.26054	20230404
7fca9fa1x	71.98294	69.390564	20230405
7fca9fa1x	71.5026	68.914444	20230406
7fca9fa1x	71.28283	69.95607	20230407
f4660bd3y	68.07444	65.14341	20230404
f4660bd3y	69.8835	67.79996	20230405
f4660bd3y	69.54385	68.16435	20230406
f4660bd3y	71.6047	68.310425	20230407
bd11dd1cz	69.2909	69.11713	20230404
bd11dd1cz	71.26607	72.13312	20230405
bd11dd1cz	72.142334	72.3875	20230406
bd11dd1cz	71.113434	72.63787	20230407
6b7e4b7b0	70.883606	72.48397	20230404
6b7e4b7b0	73.56487	74.57787	20230405
6b7e4b7b0	72.67437	74.63462	20230406
6b7e4b7b0	72.561424	75.697365	20230407
cf91916c1	71.21788	73.489204	20230404
cf91916c1	72.87307	74.685936	20230405
cf91916c1	73.790215	74.70614	20230406
cf91916c1	72.885155	75.37185	20230407
35388c5a2	68.161514	69.55864	20230404
35388c5a2	70.68602	72.016335	20230405
35388c5a2	70.777954	71.77526	20230406
35388c5a2	70.08924	72.431335	20230407
2a48436d3	72.44544	75.20975	20230404
2a48436d3	73.53582	77.94976	20230405
2a48436d3	74.29517	77.88026	20230406
2a48436d3	75.97353	78.85936	20230407
4a8f39304	72.319534	71.13397	20230404
4a8f39304	72.58984	73.934654	20230405
4a8f39304	72.09056	73.559296	20230406
4a8f39304	73.146095	75.3468	20230407
